X;Y
0.15029;4.2194e-06
0.62728;4.8485e-06
1.0937;5.235e-06
1.5601;5.694e-06
2.0264;6.1167e-06
2.4928;6.6602e-06
2.9592;7.2158e-06
3.4256;7.7835e-06
3.892;8.3391e-06
4.3584;8.8585e-06
4.8248;9.3658e-06
5.2911;9.8731e-06
5.7575;1.0368e-05
6.2239;1.09e-05
6.6903;1.1407e-05
7.1567;1.1951e-05
7.6231;1.2506e-05
8.0894;1.3074e-05
8.5558;1.3641e-05
9.0222;1.4245e-05
9.4886;1.4837e-05
9.955;1.5465e-05
10.421;1.6105e-05
10.888;1.6734e-05
11.354;1.7374e-05
11.821;1.8026e-05
12.287;1.8666e-05
12.753;1.9306e-05
13.22;1.9946e-05
13.686;2.0599e-05
14.152;2.1239e-05
14.619;2.1891e-05
15.085;2.2543e-05
15.552;2.3207e-05
16.018;2.386e-05
16.484;2.4524e-05
16.951;2.5176e-05
17.417;2.5816e-05
17.884;2.6469e-05
18.35;2.7133e-05
18.816;2.7785e-05
19.283;2.8449e-05
19.749;2.9114e-05
20.215;2.9766e-05
20.682;3.043e-05
21.148;3.1095e-05
21.615;3.1759e-05
22.081;3.2399e-05
22.547;3.3063e-05
23.014;3.3728e-05
23.48;3.438e-05
23.947;3.5032e-05
24.413;3.5696e-05
24.879;3.6361e-05
25.346;3.7013e-05
25.812;3.7665e-05
26.278;3.8342e-05
26.745;3.8994e-05
27.211;3.9646e-05
27.678;4.031e-05
28.144;4.0963e-05
28.61;4.1615e-05
29.077;4.2279e-05
29.543;4.2871e-05
