X;Y
5.4301;4.9859e-05
5.7653;5.111e-05
6.1005;5.2404e-05
6.4356;5.3672e-05
6.7708;5.4906e-05
7.106;5.6148e-05
7.4411;5.7382e-05
7.7763;5.8633e-05
8.1115;5.9866e-05
8.4467;6.1135e-05
8.7818;6.242e-05
9.117;6.3715e-05
9.4522;6.5026e-05
9.7873;6.6355e-05
10.123;6.7702e-05
10.458;6.9074e-05
10.793;7.049e-05
11.128;7.1949e-05
11.463;7.3443e-05
11.798;7.4981e-05
12.134;7.6527e-05
12.469;7.8108e-05
12.804;7.9688e-05
13.139;8.1278e-05
13.474;8.2876e-05
13.809;8.4466e-05
14.145;8.6203e-05
14.48;8.7653e-05
14.815;8.9147e-05
15.15;9.065e-05
15.485;9.2118e-05
15.82;9.3586e-05
16.156;9.5036e-05
16.491;9.6496e-05
16.826;9.792e-05
17.161;9.9371e-05
17.496;0.00010078
17.831;0.00010219
18.167;0.00010359
18.502;0.00010498
18.837;0.00010638
19.172;0.00010777
19.507;0.00010917
19.842;0.00011056
20.178;0.00011195
20.513;0.00011331
20.848;0.00011468
21.183;0.00011602
21.518;0.00011739
21.854;0.00011873
22.189;0.00012008
22.524;0.00012142
22.859;0.00012275
23.194;0.00012408
23.529;0.0001254
23.865;0.00012671
24.2;0.00012804
24.535;0.00012937
24.87;0.00013069
25.205;0.00013201
25.54;0.00013336
25.784;0.00013412
