X;Y
0.20329;4.9405e-05
0.66968;4.9574e-05
1.1361;5.0202e-05
1.6024;5.0806e-05
2.0688;5.1338e-05
2.5352;5.1712e-05
3.0016;5.2026e-05
3.468;5.2425e-05
3.9344;5.2932e-05
4.4008;5.3476e-05
4.8671;5.4019e-05
5.3335;5.4575e-05
5.7999;5.5142e-05
6.2663;5.5734e-05
6.7327;5.6314e-05
7.1991;5.6942e-05
7.6655;5.7558e-05
8.1318;5.8222e-05
8.5982;5.8875e-05
9.0646;5.9539e-05
9.531;6.0252e-05
9.9974;6.0976e-05
10.464;6.1798e-05
10.93;6.2365e-05
11.397;6.3102e-05
11.863;6.379e-05
12.329;6.4527e-05
12.796;6.5264e-05
13.262;6.5989e-05
13.728;6.6713e-05
14.195;6.745e-05
14.661;6.8187e-05
15.128;6.89e-05
15.594;6.9636e-05
16.06;7.0373e-05
16.527;7.111e-05
16.993;7.1835e-05
17.46;7.2559e-05
17.926;7.3308e-05
18.392;7.4057e-05
18.859;7.4794e-05
19.325;7.5518e-05
19.791;7.6243e-05
20.258;7.6992e-05
20.724;7.7753e-05
21.191;7.8478e-05
21.657;7.9202e-05
22.123;7.9939e-05
22.59;8.07e-05
23.056;8.1437e-05
23.523;8.2161e-05
23.989;8.291e-05
24.455;8.3659e-05
24.922;8.4396e-05
25.388;8.5121e-05
25.855;8.5833e-05
26.321;8.6618e-05
26.787;8.7343e-05
27.254;8.8116e-05
27.72;8.8841e-05
28.186;8.9565e-05
28.653;9.0302e-05
29.119;9.1039e-05
29.522;9.1615e-05
