X;Y
-24.381;0.10876
-21.637;0.10863
-18.893;0.10846
-16.148;0.10827
-13.404;0.10804
-10.66;0.10788
-7.9155;0.10776
-5.1712;0.10759
-2.4273;0.10759
0.31667;0.10758
3.0606;0.10759
5.8045;0.10759
8.5484;0.10759
11.292;0.1077
14.036;0.10781
16.779;0.10802
19.523;0.10818
22.267;0.10842
25.01;0.10864
27.753;0.10897
30.497;0.1093
33.24;0.10968
35.983;0.11007
38.726;0.11051
41.469;0.11098
44.212;0.11147
46.955;0.11199
49.698;0.11271
52.44;0.11363
55.183;0.11425
57.925;0.11506
60.668;0.11575
63.41;0.11634
66.153;0.11694
68.896;0.11758
71.639;0.11827
74.381;0.1192
77.123;0.12009
79.865;0.12097
82.607;0.12208
85.349;0.1232
88.09;0.12443
90.832;0.12565
93.574;0.12684
96.315;0.1281
99.057;0.12929
101.8;0.13047
104.54;0.1316
107.28;0.13273
110.02;0.13384
112.77;0.13494
115.51;0.13611
118.25;0.13733
120.99;0.13865
123.73;0.1399
126.47;0.14131
129.21;0.14279
131.96;0.14429
134.7;0.14585
137.44;0.14744
140.18;0.14894
142.92;0.15059
145.66;0.15235
148.4;0.15448
151.14;0.15641
153.88;0.15848
156.62;0.16061
159.36;0.16283
162.1;0.16507
164.84;0.16738
167.58;0.16968
170.32;0.17197
173.06;0.17423
175.05;0.17545
