X;Y
0.11521;0.95272
0.12596;1.0347
0.13578;1.1152
0.14637;1.2006
0.15779;1.2957
0.17009;1.396
0.18336;1.5059
0.19766;1.6225
0.21308;1.7481
0.2297;1.8858
0.24761;2.0293
0.26693;2.1855
0.28774;2.3556
0.31019;2.5422
0.33438;2.7413
0.36046;2.9547
0.38858;3.1835
0.41889;3.4328
0.45156;3.7
0.48678;3.9848
0.52474;4.2916
0.56567;4.6257
0.60979;4.9859
0.65736;5.3763
0.70863;5.7997
0.7639;6.2487
0.82348;6.7325
0.88816;7.2368
0.95695;7.8217
1.0316;8.4273
1.1173;9.098
1.2044;9.7142
1.2923;10.557
1.3996;11.388
1.5017;12.276
1.6282;13.242
1.7497;14.228
1.8954;15.349
2.0444;16.519
2.2114;17.857
2.3778;19.223
2.5567;20.669
2.7693;22.301
2.98;24.045
3.2252;25.952
3.4692;27.918
3.7344;30.032
4.0692;31.495
4.3584;34.896
4.6883;37.692
5.0547;40.589
5.4562;43.806
5.8491;47.153
6.4647;51.053
7.2245;50.67
7.9112;51.392
8.803;51.797
9.7571;51.788
10.814;51.779
11.987;51.77
13.286;51.761
14.725;51.752
16.321;51.743
18.09;51.734
20.051;51.725
22.223;51.715
24.632;51.706
27.301;51.697
30.26;51.673
37.175;51.67
41.203;51.661
45.669;51.652
50.618;51.643
56.104;51.634
62.184;51.625
68.923;51.616
76.393;51.607
84.672;51.598
93.848;51.589
104.02;51.58
115.29;51.57
127.79;51.561
141.64;51.552
156.99;51.543
174.0;51.534
192.86;51.525
213.76;51.516
236.92;51.507
262.6;51.498
322.6;51.65
357.57;51.641
396.32;51.617
439.27;51.623
486.87;51.614
539.64;51.605
598.12;51.596
644.73;0.11135
645.29;0.57317
648.59;0.12252
648.76;0.13175
648.79;0.19285
648.93;0.14168
649.1;0.15235
649.27;0.16383
649.44;0.17617
650.13;0.23556
650.3;0.25331
650.47;0.27239
650.64;0.29291
650.81;0.31498
650.98;0.33871
651.15;0.36422
651.32;0.39166
651.5;0.42117
651.67;0.4529
651.84;0.48701
652.7;0.70026
652.87;0.75301
653.04;0.80974
653.21;0.87074
653.38;0.93634
653.56;1.0069
653.73;1.0827
653.9;1.1643
654.07;1.252
654.24;1.3463
654.42;1.4478
654.47;0.52636
654.59;1.5568
654.76;1.6741
654.93;1.8002
655.11;1.9358
655.28;2.0817
655.97;2.7835
656.14;2.9932
656.31;3.2186
656.49;3.4611
656.66;3.7219
656.83;4.0022
657.0;4.3038
657.18;4.628
657.35;4.9766
657.52;5.3515
657.7;5.7547
657.87;6.1882
658.04;6.6544
658.22;7.1557
658.39;7.6948
658.56;8.2744
658.74;8.8978
658.91;9.5681
659.08;10.289
659.26;11.064
659.39;2.2632
659.43;11.898
659.6;12.794
659.78;13.758
659.82;50.911
659.95;14.794
660.12;15.909
660.3;17.107
660.47;18.396
660.65;19.782
661.34;26.451
661.52;28.443
661.69;30.586
661.86;32.89
662.04;35.368
662.4;41.078
662.74;47.292
663.31;21.38
666.7;0.10627
666.91;38.644
667.95;0.6476
668.43;0.21713
671.92;43.881
677.17;0.59236
677.59;2.5572
686.32;24.061
