X;Y
1.0619e-05;0.0097017
1.3773e-05;0.012459
1.7105e-05;0.015327
2.1465e-05;0.019309
2.6935e-05;0.024025
3.38e-05;0.029788
4.2413e-05;0.036934
5.3222e-05;0.045793
6.6784e-05;0.056627
8.38e-05;0.06904
0.00010515;0.084548
0.00013194;0.1029
0.00016556;0.12424
0.00020773;0.1483
0.00026064;0.17561
0.00032701;0.20412
0.00041027;0.23455
0.00051469;0.2627
0.00064568;0.29163
0.00081;0.32204
0.0010161;0.35878
0.0012748;0.40361
0.0015993;0.45687
0.0020064;0.51487
0.0025172;0.58024
0.0031579;0.65217
0.0039615;0.72208
0.0049697;0.79596
0.0062343;0.87353
0.0078204;0.94269
0.0098099;1.0137
0.012305;1.0786
0.015435;1.1246
0.019358;1.1317
0.024279;1.1329
0.03045;1.1341
0.03819;1.1353
0.047897;1.1365
0.060072;1.1377
0.075341;1.1389
0.092568;1.1473
