X;Y
0.0;6.79161e-10
0.205523167;6.58973e-10
0.306045409;6.39114e-10
0.478915937;5.91497e-10
0.71307536;5.56009e-10
1.079247197;4.90973e-10
1.528800593;4.54317e-10
2.130330195;4.40576e-10
3.119897201;4.20658e-10
4.135392345;3.83168e-10
5.044950369;3.48971e-10
5.951627435;2.89346e-10
7.139548908;2.47537e-10
8.707892525;2.11775e-10
11.73470763;1.89914e-10
16.07553074;1.62509e-10
21.65963407;1.39054e-10
32.77654682;1.17162e-10
44.16202625;1.00252e-10
61.51743725;8.85136e-11
90.04235972;7.2278e-11
123.3710704;6.48186e-11
199.4940497;5.37725e-11
322.5685985;4.39167e-11
449.3108001;3.81727e-11
657.7992625;3.31828e-11
