X;Y
0.0;0.0
0.80076;0.0
0.89625;13.88
0.9932;19.958
1.0873;28.753
1.1828;39.731
1.2784;52.362
1.374;68.063
1.4653;84.906
1.6871;139.05
1.748;157.08
1.809;177.09
1.8699;197.84
1.9265;218.18
1.9788;237.49
2.0267;257.39
2.0746;277.28
2.1226;297.86
2.1662;316.55
2.2097;335.4
2.2533;355.81
2.2969;376.92
2.4322;446.24
2.4888;467.2
2.5428;497.28
2.659;567.49
2.6939;586.96
2.7288;605.92
2.7637;625.45
2.7987;645.35
2.8336;665.68
2.8685;686.66
2.9034;706.93
2.9383;727.97
2.9828;750.29
3.0082;768.63
3.03;780.75
