X;Y
0.64368;0.033048
0.9258;0.031338
1.2085;0.032619
1.4914;0.034678
1.7741;0.035821
2.0565;0.0357
2.3388;0.034873
2.6211;0.033852
2.9033;0.032661
3.1855;0.031372
3.4677;0.030084
3.7499;0.028844
4.0321;0.027555
4.3143;0.026218
4.5965;0.024929
4.8788;0.023787
5.161;0.022644
5.4433;0.021574
5.7255;0.020529
6.0078;0.019727
6.2901;0.0189
6.5725;0.018317
6.8548;0.017758
7.1372;0.017296
7.4196;0.017004
7.702;0.016689
7.9845;0.016786
8.2669;0.016397
8.5493;0.016227
8.8318;0.016252
9.1142;0.016058
9.3966;0.015766
9.6791;0.015791
9.9101;0.015429
