X;Y
1.0741e-05;0.0015338
1.3943e-05;0.0018039
1.7496e-05;0.0021976
2.2228e-05;0.0025918
2.7538e-05;0.0030216
3.327e-05;0.0035216
4.2029e-05;0.0041823
5.3299e-05;0.0049301
6.9091e-05;0.0057788
8.3051e-05;0.0067087
0.00010315;0.0078894
0.00013306;0.0095615
0.00016278;0.011074
0.00019915;0.012803
0.00029062;0.016515
0.00036461;0.019312
0.00047336;0.023302
0.00061121;0.027617
0.00079625;0.031849
0.0010244;0.037139
0.0013514;0.043218
0.0017828;0.049641
0.0023518;0.056244
0.0031022;0.062688
0.0040921;0.069965
0.0053638;0.077245
0.0071949;0.086184
0.0093917;0.096249
0.012388;0.10696
0.016342;0.12078
0.021556;0.1346
0.028436;0.15234
0.037509;0.16979
0.049471;0.18261
0.06525;0.19765
0.086058;0.21061
0.11349;0.21951
0.14966;0.22337
0.19735;0.22575
0.26023;0.22629
0.34314;0.2259
0.45248;0.22659
0.59664;0.22651
0.78674;0.22658
0.95;0.22578
