X;Y
0.0;0.0
0.53426;3.4236
0.65305;10.864
0.77184;26.938
0.87318;44.364
1.0395;73.234
1.2162;112.28
1.337;140.0
1.3993;159.05
1.5494;193.47
1.6303;216.58
1.6951;234.82
1.7653;255.28
1.8409;275.56
1.9111;295.2
1.9759;313.71
2.0569;338.31
2.1325;357.2
2.2567;392.89
2.3215;412.28
2.3863;431.82
2.4493;451.58
2.5105;471.87
2.6562;512.91
2.721;532.15
2.7858;551.4
2.8506;570.64
2.9154;591.2
2.9886;610.84
3.0666;634.98
3.1314;653.93
3.1962;673.17
3.261;692.12
3.3258;711.07
3.3906;729.88
3.4554;748.97
3.5202;768.07
3.578;788.09
