X;Y
0.64549;0.042094
0.92803;0.042483
1.2105;0.042459
1.493;0.042678
1.7755;0.042897
2.058;0.042849
2.3405;0.043165
2.623;0.043409
2.9055;0.043555
3.188;0.043677
3.4705;0.043871
3.753;0.044139
4.0334;0.044411
4.3181;0.044748
4.6005;0.044845
4.8831;0.045137
5.1656;0.045356
5.448;0.045381
5.7305;0.045527
6.0131;0.045892
6.2956;0.046208
6.5781;0.046573
6.8607;0.04689
7.1432;0.047133
7.4257;0.047709
7.7084;0.048698
7.9909;0.049096
8.2734;0.04925
8.556;0.049518
8.8385;0.049802
9.121;0.049923
9.4035;0.050272
9.686;0.050418
9.9706;0.050678
