X;Y
1.3404e-05;0.0010536
1.7509e-05;0.0012897
2.1279e-05;0.0015382
2.6807e-05;0.0017655
3.4062e-05;0.0021558
4.4857e-05;0.002624
5.6389e-05;0.0031215
6.7761e-05;0.003674
8.341e-05;0.004162
0.0001016;0.0047299
0.00012631;0.0055707
0.00016048;0.0065565
0.00019632;0.0075737
0.00024324;0.0089946
0.00030901;0.010357
0.0003926;0.012337
0.00050507;0.014248
0.00059498;0.016039
0.00074212;0.018201
0.00091951;0.021107
0.0011896;0.024583
0.0015303;0.027687
0.0019685;0.03129
0.0025967;0.035356
0.0034253;0.039582
0.0045561;0.043718
0.0059598;0.048835
0.0078778;0.054181
0.01037;0.060333
0.013679;0.067707
0.018195;0.075533
0.023802;0.085442
0.031396;0.094646
0.041414;0.10607
0.054626;0.11685
0.072042;0.12264
0.095007;0.12702
0.1253;0.13418
0.16523;0.13564
0.21788;0.13653
0.28729;0.13676
0.37883;0.1368
0.49953;0.13694
0.65869;0.13698
0.83641;0.13709
