X;Y
0.0;3.314e-08
7.3862;2.7496e-08
8.4114;1.872e-08
9.6124;1.3752e-08
9.6536;1.1081e-08
13.493;8.7884e-09
25.01;8.4363e-09
35.213;8.4333e-09
45.417;8.4304e-09
55.62;8.4274e-09
65.823;8.4244e-09
76.027;8.4215e-09
86.23;8.4185e-09
96.433;8.4289e-09
106.64;8.4193e-09
116.84;8.4096e-09
127.04;8.4067e-09
137.25;8.4037e-09
147.45;8.4008e-09
157.65;8.3978e-09
167.86;8.3948e-09
178.06;8.3919e-09
188.26;8.3889e-09
198.47;8.3993e-09
208.67;8.383e-09
218.87;8.3801e-09
229.08;8.4373e-09
239.28;8.4478e-09
249.48;8.4448e-09
259.69;8.4418e-09
269.89;8.4389e-09
280.09;8.4359e-09
290.3;8.4329e-09
300.5;8.4501e-09
310.7;8.427e-09
320.91;8.3906e-09
331.11;8.3477e-09
341.31;8.3448e-09
351.52;8.3419e-09
361.72;8.3389e-09
371.92;8.336e-09
382.13;8.3796e-09
392.33;8.35e-09
402.53;8.3404e-09
412.74;8.3243e-09
422.94;8.3213e-09
433.14;8.3184e-09
443.35;8.3155e-09
453.55;8.3126e-09
463.75;8.3096e-09
473.96;8.3067e-09
484.16;8.3038e-09
494.36;8.3075e-09
504.57;8.3112e-09
514.77;8.295e-09
524.97;8.2921e-09
535.18;8.2892e-09
545.38;8.2929e-09
555.58;8.3561e-09
565.79;8.3532e-09
575.99;8.3105e-09
586.19;8.2746e-09
596.4;8.2849e-09
606.6;8.2688e-09
616.8;8.2659e-09
627.01;8.263e-09
637.21;8.2601e-09
647.41;8.2572e-09
652.98;8.3281e-09
