X;Y
0.0;9.6039e-09
10.605;8.4318e-09
12.446;6.5296e-09
14.621;5.1104e-09
15.837;3.9541e-09
16.765;3.2146e-09
20.372;2.4967e-09
27.909;2.1599e-09
37.069;1.9107e-09
47.272;1.7061e-09
57.475;1.5589e-09
67.678;1.445e-09
77.882;1.3544e-09
88.085;1.2796e-09
98.288;1.2147e-09
108.49;1.1595e-09
118.7;1.1113e-09
128.9;1.0676e-09
139.1;1.0313e-09
149.3;9.971e-10
159.51;9.6708e-10
169.71;9.4095e-10
179.91;9.1335e-10
190.12;8.9008e-10
200.32;8.7504e-10
210.52;8.6093e-10
220.73;8.41e-10
230.93;8.1698e-10
241.13;7.9871e-10
251.34;7.8396e-10
261.54;7.6826e-10
271.74;7.5949e-10
281.95;7.4902e-10
292.15;7.4106e-10
302.35;7.408e-10
312.56;7.3467e-10
322.76;7.3208e-10
332.96;7.2718e-10
343.17;7.3331e-10
353.37;7.3306e-10
363.57;7.328e-10
373.78;7.3254e-10
383.98;7.2591e-10
394.18;7.2565e-10
404.39;7.254e-10
414.59;7.2514e-10
424.79;7.2488e-10
435.0;7.2463e-10
445.2;7.2437e-10
455.4;7.2412e-10
465.61;7.2272e-10
475.81;7.1845e-10
486.01;7.1706e-10
496.22;7.1737e-10
506.42;7.1655e-10
516.62;7.163e-10
526.83;7.1605e-10
537.03;7.158e-10
547.23;7.1554e-10
557.44;7.1529e-10
567.64;7.1504e-10
577.84;7.1479e-10
588.05;7.1454e-10
598.25;7.1315e-10
608.45;7.1404e-10
618.66;7.0982e-10
628.86;7.0732e-10
639.06;7.0707e-10
648.8;7.0745e-10
