X;Y
0.0;1.1925e-09
7.2537;7.9624e-10
9.0273;5.8893e-10
9.3444;2.3908e-10
9.6124;3.6902e-10
9.7052;1.3832e-10
9.8272;1.0455e-10
10.036;4.4774e-10
10.169;1.9873e-10
10.169;1.6394e-10
10.338;3.0442e-10
13.415;7.5633e-11
14.012;6.3176e-11
15.837;4.06e-11
15.85;5.0463e-11
16.868;3.2656e-11
18.169;2.6384e-11
21.371;2.1601e-11
31.503;1.8766e-11
41.706;1.6611e-11
51.91;1.5202e-11
62.113;1.4158e-11
72.316;1.326e-11
82.52;1.2557e-11
92.723;1.1968e-11
102.93;1.1452e-11
113.13;1.1002e-11
123.33;1.0628e-11
133.54;1.0267e-11
143.74;1.0022e-11
153.94;9.7354e-12
164.15;9.4874e-12
174.35;9.2605e-12
184.55;9.0534e-12
194.76;8.8439e-12
204.96;8.6461e-12
215.16;8.4865e-12
225.37;8.3363e-12
235.57;8.2085e-12
245.77;8.0697e-12
255.98;7.9396e-12
266.18;7.8302e-12
276.38;7.7778e-12
286.59;7.7565e-12
296.79;7.7046e-12
306.99;7.7019e-12
317.2;7.6565e-12
327.4;7.6113e-12
337.6;7.5604e-12
347.81;7.5577e-12
358.01;7.5551e-12
368.21;7.5584e-12
378.42;7.6161e-12
388.62;7.6134e-12
398.82;7.5986e-12
409.03;7.608e-12
419.23;7.6054e-12
429.43;7.6027e-12
439.64;7.6e-12
449.84;7.5973e-12
460.04;7.5947e-12
470.25;7.6041e-12
480.45;7.656e-12
490.65;7.6533e-12
500.86;7.6506e-12
511.06;7.6479e-12
521.26;7.6452e-12
531.47;7.6243e-12
541.67;7.5733e-12
551.87;7.5707e-12
562.08;7.568e-12
572.28;7.5894e-12
582.48;7.6291e-12
592.68;7.6264e-12
602.89;7.6237e-12
613.09;7.6211e-12
623.29;7.6184e-12
633.5;7.6582e-12
643.7;7.6799e-12
651.12;7.6511e-12
