X;Y
1.6766;0.00094096
2.2632;0.0009558
2.8497;0.00097019
3.4362;0.00098458
4.0228;0.00099785
4.6093;0.0010113
5.1958;0.0010255
5.7824;0.0010399
6.3689;0.0010552
6.9554;0.0010709
7.5419;0.0010878
8.1285;0.0011042
8.715;0.0011213
9.3015;0.0011384
9.8881;0.0011553
10.475;0.0011733
11.061;0.0011915
11.648;0.0012092
12.234;0.0012277
12.821;0.0012464
13.407;0.0012655
13.994;0.0012853
14.58;0.0013059
15.167;0.0013269
15.753;0.0013475
16.34;0.0013687
16.926;0.0013905
17.513;0.0014119
18.099;0.0014335
18.686;0.0014548
19.273;0.0014762
19.827;0.0014977
