X;Y
1.6413;0.00093957
2.2278;0.00095457
2.8144;0.00096913
3.4009;0.00098368
3.9874;0.00099712
4.574;0.0010108
5.1605;0.0010251
5.747;0.0010397
6.3336;0.0010551
6.9201;0.001071
7.5066;0.001088
8.0931;0.0011046
8.6797;0.0011219
9.2662;0.0011391
9.8527;0.0011561
10.439;0.0011743
11.026;0.0011927
11.612;0.0012106
12.199;0.0012292
12.785;0.001248
13.372;0.0012673
13.958;0.0012872
14.545;0.001308
15.132;0.0013291
15.718;0.0013499
16.305;0.0013712
16.891;0.0013932
17.478;0.0014147
18.064;0.0014364
18.651;0.0014579
19.237;0.0014795
19.792;0.0014965
