X;Y
1.2157e-06;0.00068682
1.9837e-06;0.0010502
3.2026e-06;0.0015344
5.2892e-06;0.002193
8.7346e-06;0.0030556
1.5098e-05;0.004406
2.493e-05;0.0059615
4.1165e-05;0.0079833
6.7985e-05;0.011406
0.00011225;0.014767
0.00018538;0.021054
0.00029922;0.028646
0.00048296;0.038226
0.00079739;0.049397
0.0013165;0.063454
0.0021733;0.077967
0.0035873;0.092101
0.0059215;0.11054
0.0097741;0.13079
0.016131;0.14638
0.02662;0.1615
0.043926;0.17017
0.072479;0.17789
0.11959;0.18303
0.1973;0.18594
0.32554;0.1904
0.5371;0.19281
0.86626;0.19906
